"","fechaPred","varHist","varHistPonde"
"648","10-Oct-17",1.05024371486615,0.628105521611031
"649","11-Oct-17",1.05024371486615,0.628105521611031
"650","12-Oct-17",1.05024371486615,0.628105521611031
"651","13-Oct-17",1.05024371486615,0.628105521611031
"652","16-Oct-17",1.05024371486615,0.628105521611031
"655","17-Oct-17",1.05024371486615,0.615438102831154
"656","18-Oct-17",1.05024371486615,0.568442528583786
"657","19-Oct-17",1.05024371486615,0.568442528583786
"658","20-Oct-17",1.05024371486615,0.528916512122801
"659","23-Oct-17",1.05024371486615,0.528916512122801
"662","24-Oct-17",1.05024371486615,0.666749377079127
"663","25-Oct-17",1.05024371486615,0.666749377079127
"664","26-Oct-17",1.08976742872106,0.885265952456192
"665","27-Oct-17",1.08976742872106,0.885265952456192
"666","30-Oct-17",1.08976742872106,0.885265952456192
"669","31-Oct-17",1.08976742872106,0.885265952456192
"670","1-Nov-17",1.05024371486615,0.885265952456192
"671","3-Nov-17",1.04082370258485,0.885265952456192
"673","6-Nov-17",1.04082370258485,0.885265952456192
"676","7-Nov-17",1.04082370258485,0.885265952456192
"677","8-Nov-17",1.04082370258485,0.885265952456192
"678","9-Nov-17",1.01576852079042,0.885265952456192
"679","10-Nov-17",0.994144342254806,0.885265952456192
"680","13-Nov-17",1.01576852079042,1.41659838424981
"683","14-Nov-17",1.01576852079042,1.41659838424981
"684","15-Nov-17",1.01576852079042,1.03707985055367
"685","16-Nov-17",1.01576852079042,1.03707985055367
"686","17-Nov-17",1.01576852079042,1.03707985055367
"687","21-Nov-17",0.994144342254806,1.03707985055367
"691","22-Nov-17",0.994144342254806,1.03707985055367
"692","23-Nov-17",0.994144342254806,0.885265952456192
"693","24-Nov-17",0.994144342254806,0.885265952456192
"694","27-Nov-17",0.994144342254806,0.885265952456192
"697","28-Nov-17",1.01576852079042,1.40010604966445
"698","29-Nov-17",1.01576852079042,1.40010604966445
"699","30-Nov-17",1.01576852079042,1.40010604966445
"700","1-Dec-17",1.04082370258485,1.40010604966445
"701","4-Dec-17",1.04082370258485,1.40010604966445
"704","5-Dec-17",1.04082370258485,1.40010604966445
"705","6-Dec-17",1.04082370258485,1.40010604966445
"706","7-Dec-17",1.04082370258485,1.40010604966445
"707","8-Dec-17",1.04082370258485,1.40010604966445
"708","11-Dec-17",1.04082370258485,1.40010604966445
"711","13-Dec-17",1.04082370258485,1.40010604966445
"713","14-Dec-17",1.03685335716752,1.12016770018431
"714","15-Dec-17",1.03685335716752,1.12016770018431
"715","18-Dec-17",1.01558320801993,1.12016770018431
"718","19-Dec-17",1.01558320801993,1.12016770018431
"719","20-Dec-17",1.01558320801993,1.12016770018431
"720","21-Dec-17",1.01558320801993,1.12016770018431
"721","22-Dec-17",1.01558320801993,1.12016770018431
"722","26-Dec-17",1.01558320801993,1.12016770018431
"726","27-Dec-17",1.01558320801993,1.12016770018431
"727","28-Dec-17",1.01558320801993,1.12016770018431
"728","29-Dec-17",1.01558320801993,1.12016770018431
"729","2-Jan-18",1.01558320801993,1.12016770018431
"733","3-Jan-18",1.01558320801993,1.12016770018431
"734","4-Jan-18",1.01558320801993,1.03707985055367
"735","5-Jan-18",1.01558320801993,1.03707985055367
"736","8-Jan-18",1.01558320801993,1.03666804439704
"739","9-Jan-18",1.01558320801993,1.03666804439704
"740","10-Jan-18",0.994144342254806,1.03666804439704
"741","11-Jan-18",0.994144342254806,1.40010604966445
"742","12-Jan-18",0.994144342254806,1.40010604966445
"743","15-Jan-18",0.994144342254806,1.40010604966445
"746","16-Jan-18",0.994144342254806,1.40010604966445
"747","17-Jan-18",0.994144342254806,1.40010604966445
"748","18-Jan-18",0.994144342254806,1.40010604966445
"749","19-Jan-18",0.994144342254806,1.12016770018431
"750","22-Jan-18",0.994144342254806,1.12016770018431
"753","23-Jan-18",0.994144342254806,1.12016770018431
"754","24-Jan-18",0.994144342254806,1.12016770018431
"755","25-Jan-18",0.994144342254806,1.12016770018431
"756","26-Jan-18",0.994144342254806,1.12016770018431
"757","29-Jan-18",0.994144342254806,1.04539952173407
"760","30-Jan-18",0.981880123255159,1.03666804439704
"761","31-Jan-18",0.981880123255159,1.03666804439704
"762","1-Feb-18",0.981880123255159,1.03666804439704
"763","2-Feb-18",0.981880123255159,1.03666804439704
"764","6-Feb-18",0.981880123255159,1.03666804439704
"768","7-Feb-18",0.994144342254806,1.86044850422544
"769","8-Feb-18",0.994144342254806,1.41659838424981
"770","9-Feb-18",0.994144342254806,2.18843531197643
"771","12-Feb-18",0.994144342254806,2.18843531197643
"774","13-Feb-18",0.994144342254806,2.18843531197643
"775","14-Feb-18",0.994144342254806,2.18843531197643
"776","15-Feb-18",0.994144342254806,2.18843531197643
"777","16-Feb-18",0.994144342254806,2.18843531197643
"778","19-Feb-18",0.994144342254806,2.18843531197643
"781","20-Feb-18",0.994144342254806,1.86044850422544
"782","21-Feb-18",0.994144342254806,1.86044850422544
"783","22-Feb-18",0.994144342254806,1.86044850422544
"784","23-Feb-18",0.994144342254806,1.86044850422544
"785","26-Feb-18",0.994144342254806,1.86044850422544
"788","27-Feb-18",0.994144342254806,1.86044850422544
"789","28-Feb-18",1.00943850092146,1.86044850422544
"790","1-Mar-18",1.02915784683224,1.86044850422544
"791","2-Mar-18",1.00943850092146,1.41659838424981
"792","5-Mar-18",1.00943850092146,1.41659838424981
"795","6-Mar-18",1.00943850092146,1.40010604966445
"796","7-Mar-18",1.00943850092146,1.40010604966445
"797","8-Mar-18",1.00943850092146,1.40010604966445
"798","9-Mar-18",1.00943850092146,1.12016770018431
"799","12-Mar-18",1.00943850092146,1.12016770018431
"802","13-Mar-18",1.00943850092146,1.11574481787527
"803","14-Mar-18",1.00943850092146,1.11574481787527
"804","15-Mar-18",1.00943850092146,1.11574481787527
"805","16-Mar-18",1.00943850092146,1.11574481787527
"806","20-Mar-18",1.00943850092146,1.11574481787527
"810","21-Mar-18",1.00943850092146,1.11574481787527
"811","22-Mar-18",1.00943850092146,1.11574481787527
